State,term,id,comma,opAtrib,opAccess,paramStart,paramEnd,fAdd,fRemove,fReverse,fUpper,fLower,fLength,fDiffDates,fCollectData,fCompare,fSplit,fContains,fGet,fPut,tInt,tFloat,tString,tBool,tCommit,tUser,tRepository,tFile,tIssue,tPullRequest,tComment,tDate,tHattoriSize,tHattoriNature,tInts,tFloats,tStrings,tBools,tCommits,tUsers,tRepositories,tFiles,tIssues,tPullRequests,tComments,tDates,prWrite,prWhile,prFor,prIf,prElse,in,escStart,escEnd,opConc,opLogicOr,opLogicAnd,opRel1,opRel2,opRel3,opAritAd,opAritMul,opNeg,tLitInt,tLitFloat,tLitBool,tLitString,$
34,,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,r59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,r60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,r87,,,r87,,,r87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r87,,r87,r87,r87,s90,s91,s92,,,,,,,,
42,r91,,,r91,,,r91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r91,,r91,r91,r91,r91,r91,r91,s93,,,,,,,
43,r93,,,r93,,,r93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r93,,r93,r93,r93,r93,r93,r93,r93,s94,,,,,,
44,r95,,,r95,,,r95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r95,,r95,r95,r95,r95,r95,r95,r95,r95,s95,,,,,
45,r97,,,r97,,,r97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r97,,r97,r97,r97,r97,r97,r97,r97,r97,r97,,,,,
46,,s52,,,,s46,,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s54,s55,s56,s57,
47,r99,,,r99,,,r99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r99,,r99,r99,r99,r99,r99,r99,r99,r99,r99,,,,,
48,r100,,,r100,,,r100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r100,,r100,r100,r100,r100,r100,r100,r100,r100,r100,,,,,
49,r13,,r13,r13,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r13,,r13,r13,r13,r13,r13,r13,r13,r13,r13,,,,,
50,r14,,r14,r14,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r14,,r14,r14,r14,r14,r14,r14,r14,r14,r14,,,,,
51,r15,,r15,r15,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r15,,r15,r15,r15,r15,r15,r15,r15,r15,r15,,,,,
52,r16,,r16,r16,s97,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r16,,r16,r16,r16,r16,r16,r16,r16,r16,r16,,,,,
53,r19,,r19,r19,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r19,,r19,r19,r19,r19,r19,r19,r19,r19,r19,,,,,
54,r101,,r101,r101,,,r101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r101,,r101,r101,r101,r101,r101,r101,r101,r101,r101,,,,,
55,r102,,r102,r102,,,r102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r102,,r102,r102,r102,r102,r102,r102,r102,r102,r102,,,,,
56,r103,,r103,r103,,,r103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r103,,r103,r103,r103,r103,r103,r103,r103,r103,r103,,,,,
57,r104,,r104,r104,,,r104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r104,,r104,r104,r104,r104,r104,r104,r104,r104,r104,,,,,
58,,,,,,s99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1
73,,s52,,,,s46,,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s7,s8,s9,s10,s11,,,r76,,,,,,,,,,s54,s55,s56,s57,r76
74,s101,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s78,,,,,,,,,,,,,
75,,s52,,,,s46,,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s7,s8,s9,s10,s11,,,r80,,,,,,,,,,s54,s55,s56,s57,r80
76,,s52,,,,s46,,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s7,s8,s9,s10,s11,,,,,,,,,,,,,s54,s55,s56,s57,r5
77,,s52,,,,s46,,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s54,s55,s56,s57,
78,,s52,,,,s46,,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s54,s55,s56,s57,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3
80,s108,,,s106,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,s52,,,,s46,,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s54,s55,s56,s57,
82,s110,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s78,,,,,,,,,,,,,
83,,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s88,,s78,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s88,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,,,,,,,,,,,,,,,,,,,,,,
